 A one-man musical phenomenon | Jacob Collier
 How I Teach Kids to Love Science | Cesar Harada | TED Talks
 Social Services Are Broken. How We Can Fix Them | Hilary Cottam | TED.com
 Deep Under the Earth's Surface
 An Internet Without Screens Might Look Like This | Tom Uglow | TED Talks
 How CRISPR lets us edit our DNA | Jennifer Doudna
 The unexpected beauty of everyday sounds | Meklit Hadero
 The secret US prisons you've never heard of before | Will Potter
 Two Nameless Bodies Washed Up on the Beach. Here Are Their Stories | Anders Fjellberg | TED Talks
 Why Medicine Often Has Dangerous Side Effects for Women | Alyson McGregor | TED Talks
 The Future of Flying Robots | Vijay Kumar | TED Talks
 How We Can Make the World a Better Place by 2030 | Michael Green | TED Talks
 Home Is a Song I've Always Remembered | Teitur | TED Talks
 You can grow new brain cells. Here's how | Sandrine Thuret
 Design at the Intersection of Technology and Biology | Neri Oxman | TED Talks
 Soon We'll Cure Diseases With a Cell
 Climate Change Is Happening. Here's How We Adapt | Alice Bows-Larkin | TED Talks
 Why some of us don't have one true calling | Emilie Wapnick
 How My Mind Came Back to Life â€” and No One Knew | Martin Pistorius | TED Talks
 Stunning Photos of the Endangered Everglades | Mac Stone | TED Talks
 Don't ask where I'm from
 Alzheimerâ€™s Is Not Normal Aging â€” And We Can Cure It | Samuel Cohen | TED Talks
 4 Powerful Poems about Parkinson's and Growing Older | Robin Morgan | TED Talks
 Why Climate Change Is a Threat to Human Rights | Mary Robinson | TED Talks
 Why Public Beheadings Get Millions of Views | Frances Larson | TED Talks
 How I Stopped the Taliban from Shutting Down My School | Sakena Yacoobi | TED Talks
 How to find work you love | Scott Dinsmore
 Falling in love is the easy part | Mandy Len Catron
 Why Gender Equality Is Good for Everyone â€” Men Included | Michael Kimmel | TED Talks
 The Story We Tell About Poverty Isn't True | Mia Birdsong | TED Talks
 How fear drives American politics | David Rothkopf | TED Talks
 This tennis icon paved the way for women in sports | Billie Jean King
 What really matters at the end of life | BJ Miller
 The way we think about work is broken | Barry Schwartz
 I leapt from the stratosphere. Here's how I did it | Alan Eustace
 The mathematician who cracked Wall Street | Jim Simons
 How the mysterious dark net is going mainstream | Jamie Bartlett
 An Invitation to Men Who Want a Better World for Women | Elizabeth Nyamayaro | TED Talks
 This new telescope might show us the beginning of the universe | Wendy Freedman
 How Too Many Rules at Work Keep You from Getting Things Done | Yves Morieux | TED Talks
 These Robots Come to the Rescue after a Disaster | Robin Murphy | TED Talks
 Why Vaccines are Made Too Late... If Theyâ€™re Made At All | Seth Berkley | TED Talks
 How Quantum Biology Might Explain Lifeâ€™s Biggest Questions | Jim Al-Khalili | TED Talks
 Bring on the learning revolution! | Ken Robinson
 A journey through the mind of an artist | Dustin Yellin
 How to Avoid Surveillance...With Your Phone | Christopher Soghoian | TED Talks
 How young blood might help reverse aging. Yes
 A Visual History of Human Knowledge | Manuel Lima | TED Talks
 My Inner Life with Asperger's | Alix Generous | TED Talks
 Could We Cure HIV with Lasers? | Patience Mthunzi | TED Talks
 My road trip through the whitest towns in America | Rich Benjamin
 The surprising way groups like ISIS stay in power | Benedetta Berti
 Why humans run the world | Yuval Noah Harari
 Street Art for Hope and Peace | eL Seed | TED Talks
 Paper towns and why learning is awesome | John Green
 What Islam really says about women | Alaa Murabit
 Henry Lin What we can learn from galaxies far
 How one tweet can ruin your life | Jon Ronson
 Eddy Cartaya My glacier cave discoveries
 Adam Sadowsky How to engineer a viral music video
 Wadah Khanfar A historic moment in the Arab world
 Robert Wright The evolution of compassion
 Robert Thurman Expanding your circle of compassion
 Feisal Abdul Rauf Lose your ego
 James Forbes Compassion at the dinner table
 Dayananda Saraswati The profound journey of compassion
 Jackie Tabick The balancing act of compassion
 Nellie McKay "Clonie"
 Bill Strickland Rebuilding a neighborhood with beauty
 Rachelle Garniez and Thomas Dolby "La Vie en Rose"
 Nora York Singing "What I Want"
 McKenna Pope Want to be an activist? Start with your toys
 Pam Warhurst How we can eat our landscapes
 Bahia Shehab A thousand times no
 Jonathan Eisen Meet your microbes
 Vinay Venkatraman Technology crafts for the digitally underserved
 Daniel Pauly The ocean's shifting baseline
 Marlene Zuk What we learn from insectsâ€™ kinky sex lives
 Salvatore Iaconesi What happened when I open-sourced my brain cancer
 Amy Purdy Living beyond limits
 John Bohannon Dance vs. powerpoint
 Srdja Popovic How to topple a dictator
 Bilal Bomani Plant fuels that could power a jet
 Julian Baggini Is there a real you?
 Mick Mountz What happens inside those massive warehouses?
 Drew Dudley Everyday leadership
 Garth Lenz The true cost of oil
 Avi Rubin All your devices can be hacked
 Larry Smith Why you will fail to have a great career
 Peter Saul Let's talk about dying
 Jonathan Foley The other inconvenient truth
 Joe Smith How to use a paper towel
 Brenda Romero Gaming for understanding
 Tavi Gevinson A teen just trying to figure it out
 Rick Guidotti From stigma to supermodel
 Bart Knols Cheese
 Michael McDaniel Cheap
 Ken Goldberg 4 lessons from robots about being human
 David Mackay A reality check on renewables
 Seth Shostak ET is (probably) out there â€” get ready
 David Birch A new way to stop identity theft
 Ami Klin A new way to diagnose autism
 Jon Nguyen Tour the solar system from home
 Nirmalya Kumar India's invisible innovation
 Todd Humphreys How to fool a GPS
 Noah Wilson-Rich Every city needs healthy honey bees
 John Graham-Cumming The greatest machine that never was
 Emma Teeling The secret of the bat genome
 Megan Kamerick Women should represent women in media
 Alec Soth + Stacey Baker This is what enduring love looks like
 Adam Garone Healthier men
 Aspen Baker A better way to talk about abortion
 Noy Thrupkaew Human trafficking is all around you. This is how it works
 Ash Beckham When to take a stand -- and when to let it go
 Everything you think you know about addiction is wrong | Johann Hari
 A Warriorâ€™s Cry Against Child Marriage | Memory Banda | TED Talks
 The Math Behind Basketball's Wildest Moves | Rajiv Maheswaran | TED Talks
 Gayle Tzemach Lemmon Meet the first women to fight on the front lines of an American war
 Latif Nasser The amazing story of the man who gave us modern pain relief
 Jimmy Carter Why I believe the mistreatment of women is the number one human rights abuse
 The surprising thing I learned sailing solo around the world | Dame Ellen MacArthur
 Chris Urmson How a driverless car sees the road
 Maryn McKenna What do we do when antibiotics donâ€™t work any more?
 Chip Kidd The art of first impressions â€” in design and life
 Roxane Gay Confessions of a bad feminist
 An 11-year-old prodigy performs old-school jazz | Joey Alexander
 LaToya Ruby Frazier A visual history of inequality in industrial America
 Steve Silberman The forgotten history of autism
 Margaret Heffernan Why it's time to forget the pecking order at work
 Rana el Kaliouby This app knows how you feel â€” from the look on your face
 Lee Mokobe A powerful poem about what it feels like to be transgender
 Do we see reality as it is? | Donald Hoffman
 Sarah Jones One woman
 This is what it's like to go undercover in North Korea | Suki Kim
 Linda Cliatt-Wayman How to fix a broken school? Lead fearlessly
 Trevor Aaronson How this FBI strategy is actually creating US-based terrorists
 The first secret of great design | Tony Fadell
 Laura Schulz The surprisingly logical minds of babies
 The single biggest reason why start-ups succeed | Bill Gross
 Jimmy Nelson Gorgeous portraits of the world's vanishing people
 Sara Seager The search for planets beyond our solar system
 What does my headscarf mean to you? | Yassmin Abdel-Magied
 Jeffrey Brown How we cut youth violence in Boston by 79 percent
 Chris Burkard The joy of surfing in ice-cold water
 Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel
 Chimps have feelings and thoughts. They should also have rights
 Cosmin Mihaiu Physical therapy is boring â€” play a game instead
 Martine Rothblatt My daughter
 The Lady Lifers A moving song from women in prison for life
 Why city flags may be the worst-designed thing you've never noticed | Roman Mars
 Magical houses
 The first 21 days of a beeâ€™s life | Anand Varma
 Dawn Landes A song for my hero
 Tal Danino We can use bacteria to detect cancer (and maybe treat it)
 Bill T. Jones The dancer
 Abe Davis New video technology that reveals an object's hidden properties
 Pamela Ronald The case for engineering our food
 Alice Goffman How we're priming some kids for college â€” and others for prison
 Why we laugh | Sophie Scott
 How to control someone else's arm with your brain | Greg Gage
 What happens when our computers get smarter than we are? | Nick Bostrom
 Nizar Ibrahim How we unearthed the spinosaurus
 How to raise a black son in America | Clint Smith
 Chris Milk How virtual reality can create the ultimate empathy machine
 Jedidah Isler How I fell in love with quasars
 Gary Haugen The hidden reason for poverty the world needs to address now
 Nathalie Cabrol How Mars might hold the secret to the origin of life
 Paul Tudor Jones II Why we need to rethink capitalism
 The best kindergarten youâ€™ve ever seen | Takaharu Tezuka
 Kailash Satyarthi How to make peace? Get angry
 Barat Ali Batoor My desperate journey with a human smuggler
 Fred Jansen How to land on a comet
 How equal do we want the world to be? You'd be surprised | Dan Ariely
 Math is forever (with English subtitles) | Eduardo SÃ¡enz de CabezÃ³n
 5 ways to kill your dreams | Bel Pesce
 The next outbreak? Weâ€™re not ready | Bill Gates
 Boniface Mwangi The day I stood up alone
 Are China and the US doomed to conflict? | Kevin Rudd
 Daniel Kish How I use sonar to navigate the world
 Alison Killing Thereâ€™s a better way to die
 Dame Stephanie Shirley Why do ambitious women have flat heads?
 Theaster Gates How to revive a neighborhood with imagination
 Dave Isay Everyone around you has a story the world needs to hear
 Anand Giridharadas A tale of two Americas. And the mini-mart where they collided
 How we teach computers to understand pictures | Fei Fei Li
 The price of shame | Monica Lewinsky
 What if 3D printing was 100x faster? | Joseph DeSimone
 Can we create new senses for humans? | David Eagleman
 Robyn Stein DeLuca The good news about PMS
 Vincent Cochetel I was held hostage for 317 days. Here's what I thought aboutâ€¦
 Linda Hill How to manage for collective creativity
 Shimpei Takahashi Play this game to come up with original ideas
 Ismael Nazario What I learned as a kid in jail
 Why the buildings of the future will be shaped by ... you | Marc Kushner
 Sangu Delle In praise of macro -- yes
 Ilona SzabÃ³ de Carvalho 4 lessons I learned from taking a stand against drugs and gun violence
 Andy Yen Think your email's private? Think again
 Harry Baker A love poem for lonely prime numbers
 Topher White What can save the rainforest? Your used cell phone
 Jon Gosier The problem with "trickle-down techonomics"
 Helder GuimarÃ£es A magical search for a coincidence
 Ben Wellington How we found the worst place to park in New York City â€” using big data
 The power of herd immunity (with English subtitles) | Romina Libster
 Khalida Brohi How I work to protect women from honor killings
 Rob Knight How our microbes make us who we are
 James A. White Sr. The little problem I had renting a house
 Angelo Vermeulen How to go to space
 Laura Boushnak For these women
 How childhood trauma affects health across a lifetime | Nadine Burke Harris
 How to practice emotional first aid | Guy Winch
 The mathematics of love | Hannah Fry
 Kenneth Shinozuka My simple invention
 Ricardo Semler Radical wisdom for a company
 Jaap de Roode How butterflies self-medicate
 Brian Dettmer Old books reborn as intricate art
 Tom Wujec Got a wicked problem? First
 Bruce Aylward Humanity vs. Ebola. The winning strategies in a terrifying war
 Rodney Mullen Pop an ollie and innovate!
 Zeynep Tufekci How the Internet has made social change easy to organize
 Bassam Tariq The beauty and diversity of Muslim life
 Khadija Gbla My motherâ€™s strange definition of empowerment
 Severine Autesserre To solve mass violence
 Miguel Nicolelis Brain-to-brain communication has arrived. How we did it
 The danger of hiding who you are | Morgana Bailey
 Joe Madiath Better toilets
 Sarah Bergbreiter Why I make robots the size of a grain of rice
 Matthieu Ricard How to let altruism be your guide
 Poetry that frees the soul (with English subtitles) | Cristina Domenech
 Robert Muggah How to protect fast-growing cities from failing
 Robert Swan Let's save the last pristine continent
 Navi Radjou Creative problem-solving in the face of extreme limits
 Tasso Azevedo Hopeful lessons from the battle to save rainforests
 Fredy Peccerelli A forensic anthropologist who brings closure for the â€œdisappeared"
 For more tolerance
 Daniele Quercia Happy maps
 Asha de Vos Why you should care about whale poo
 The year in ideas TED Talks of 2014
 See invisible motion
 Erin McKean Go ahead
 Trash cart superheroes | Mundano
 Bruno Torturra Got a smartphone? Start broadcasting
 The power of believing that you can improve | Carol Dweck
 The wonderful and terrifying implications of computers that can learn | Jeremy Howard
 Verna Myers How to overcome our biases? Walk boldly toward them
 Dave Troy Social maps that reveal a city's intersections â€” and separations
 Catherine Crump The small and surprisingly dangerous detail the police track about you
 Thomas Hellum The world's most boring television ... and why it's hilariously addictive
 Anastasia Taylor-Lind Fighters and mourners of the Ukrainian revolution
 Jose Miguel Sokoloff How we used Christmas lights to fight a war
 Aakash Odedra A dance in a hurricane of paper
 Barbara Natterson-Horowitz What veterinarians know that doctors don't
 Rainer Strack The surprising workforce crisis of 2030 â€” and how to start solving it now
 Ben Saunders To the South Pole and back â€” the hardest 105 days of my life
 Hidden Cameras Film Injustice in Dangerous Places | Oren Yakobovich | TED Talks
 The art of stillness | Pico Iyer
 Why some people find exercise harder than others | Emily Balcetis
 Mark Plotkin What the people of the Amazon know that you donâ€™t
 How autism freed me to be myself | Rosie King
 Joe Landolina This gel can make you stop bleeding instantly
 Nancy Frates Why my family started the ALS Ice Bucket Challenge. The rest is history
 Tiny satellites that photograph the entire planet
 David Grady How to save the world (or at least yourself) from bad meetings
 Vincent Moon and Nana Vasconcelos The worldâ€™s hidden music rituals
 Leana Wen What your doctor wonâ€™t disclose
 Ethan Nadelmann Why we need to end the War on Drugs
 Michael Green What the Social Progress Index can reveal about your country
 Ramanan Laxminarayan The coming crisis in antibiotics
 Haas&Hahn How painting can transform communities
 Alejandro Aravena My architectural philosophy? Bring the community into the process
 Kare Anderson Be an opportunity maker
 Humble plants that hide surprising secrets | Ameenah Gurib-Fakim
 Alessandra Orofino Itâ€™s our city. Letâ€™s fix it
 In an age of distraction
 Jeremy Heimans What new power looks like
 Debra Jarvis Yes
 Photos that give voice to the animal kingdom | Frans Lanting
 Sergei Lupashin A flying camera ... on a leash
 How I defend the rule of law | Kimberley Motley
 Marc Abrahams A science award that makes you laugh
 Fabien Cousteau What I learned from spending 31 days underwater
 Joy Sun Should you donate differently?
 Fred Swaniker The leaders who ruined Africa
 Susan Etlinger What do we do with all this big data?
 Kitra Cahana My father
 Letâ€™s Help Refugees Thrive
 The Future of Early Cancer Detection? | Jorge Soto | TED Talks
 Myriam Sidibe The simple power of handwashing
 One more reason to get a good nightâ€™s sleep | Jeff Iliff
 Glenn Greenwald Why privacy matters
 Dilip Ratha The hidden force in global economics sending money home
 Pia Mancini How to upgrade democracy for the Internet era
 Why thinking you're ugly is bad for you | Meaghan Ramsey
 Thomas Piketty New thoughts on capital in the twenty-first century
 Daria van den Bercken Why I take the piano on the road â€¦ and in the air
 Nancy Kanwisher A neural portrait of the human mind
 Gail Reed Where to train the world's doctors? Cuba.
 The career advice you probably didn't get | Susan Colantuono
 Francis de los Reyes Sanitation is a basic human right
 Moshe Safdie How to reinvent the apartment building
 Matthew O'Reilly "Am I dying?" The honest answer.
 Eman Mohammed The courage to tell a hidden story
 Kenneth Cukier Big data is better data
 The state of the climate -- and what we might do about it | Nicholas Stern
 Antonio Donato Nobre The magic of the Amazon A river that flows invisibly all around us
 Avi Reichental Whatâ€™s next in 3D printing
 Mac Barnett Why a good book is a secret door
 Andrew Connolly What's the next window into our universe?
 What makes us get sick? Look upstream | Rishi Manchanda
 Uldus Bakhtiozina Wry photos that turn stereotypes upside down
 How not to be ignorant about the world | Hans and Ola Rosling
 Dan Barasch A park underneath the hustle and bustle of New York City
 I am the son of a terrorist. Here's how I chose peace | Zak Ebrahim
 Colin Grant The son of a difficult father
 Shubhendu Sharma How to grow a tiny forest anywhere
 Isabel Allende How to live passionatelyâ€”no matter your age
 Why does the universe exist? | Jim Holt
 Jill Shargaa Please
 Sally Kohn Donâ€™t like clickbait? Donâ€™t click
 Meera Vijayann Find your voice against gender violence
 Rose Goslinga Crop insurance
 Martin Rees Can we prevent the end of the world?
 Ziyah GafiÄ‡ Everyday objects
 Depressed dogs
 Jarrett J. Krosoczka Why lunch ladies are heroes
 Aziza Chaouni How I brought a river
 Tim Berners-Lee A Magna Carta for the web
 The danger of silence | Clint Smith
 Eric Liu Why ordinary people need to understand power
 Dan Pacholke How prisons can help inmates live meaningful lives
 Beware
 Talithia Williams Own your body's data
 Megan Washington Why I live in mortal dread of public speaking
 Janet Iwasa How animations can help scientists test a hypothesis
 Hubertus Knabe The dark secrets of a surveillance state
 Margaret Gould Stewart How giant websites design for you (and a billion others
 An ultra-low-cost college degree | Shai Reshef
 Ze Frank Are you human?
 Heather Barnett What humans can learn from semi-intelligent slime
 Shih Chieh Huang Sculptures that'd be at home at the bottom of the ocean
 Nikolai Begg A tool to fix one of the most dangerous moments in surgery
 If you were raised to hate
 How do you explain consciousness? | David Chalmers
 David Kwong Two nerdy obsessions meet â€” and it's magic
 Karima Bennoune The side of terrorism that doesn't make headlines
 Renata Salecl Our unhealthy obsession with choice
 A 30-year history of the future | Nicholas Negroponte
 Why I love a country that once betrayed me | George Takei
 Paul Bloom Can prejudice ever be a good thing?
 Which country does the most good for the world? | Simon Anholt
 Sara Lewis The loves and lies of fireflies
 Chris Domas The 1s and 0s behind cyber warfare
 How to speak so that people want to listen | Julian Treasure
 Ge Wang The DIY orchestra of the future
 Naomi Oreskes Why we should trust scientists
 Lorrie Faith Cranor What's wrong with your pa$$w0rd?
 Shaka Senghor Why your worst deeds don't define you
 Billy Collins Two poems about what dogs think (probably)
 3 ways to speak English | Jamila Lyiscott
 How to make hard choices | Ruth Chang
 Anne Curzan What makes a word "real"?
 Kwame Anthony Appiah Is religion good or bad? (This is a trick question)
 The world's largest family reunion ... we're all invited! | A.J. Jacobs
 Uri Alon Why truly innovative science demands a leap into the unknown
 Will Potter The shocking move to criminalize nonviolent protest
 Hackers the internet's immune system | Keren Elazari
 I'm not your inspiration
 Yoruba Richen What the gay rights movement learned from the civil rights movement
 Robert Full The secrets of nature's grossest creatures
 Stephen Burt Why people need poetry
 The psychology of your future self | Dan Gilbert
 Ray Kurzweil Get ready for hybrid thinking
 Sting How I started writing songs again
 Stephen Friend The hunt for "unexpected genetic heroes"
 A glimpse of life on the road | Kitra Cahana
 The strange story of the teddy bear and what it reveals | Jon Mooallem
 Sebastian Junger Why veterans miss war
 Wes Moore How to talk to veterans about the war
 Chris Kluwe How augmented reality will change sports ... and build empathy
 How the worst moments in our lives make us who we are | Andrew Solomon
 Jackie Savitz Save the oceans
 Why good leaders make you feel safe | Simon Sinek
 Rives The Museum of Four in the Morning
 The smelly mystery of the human pheromone | Tristram Wyatt
 The bridge between suicide and life | Kevin Briggs
 Deborah Gordon What ants teach us about the brain
 How to rob a bank (from the inside
 How sampling transformed music | Mark Ronson
 Comics that ask "what if?" | Randall Munroe
 Stanley McChrystal The military case for sharing knowledge
 Maybe the best robot demo ever | Marco Tempest
 Color blind or color brave? | Mellody Hobson
 Sarah Jones What does the future hold? 11 characters offer quirky answers
 Gavin Schmidt The emergent patterns of climate change
 Andrew Bastawrous Get your next eye exam on a smartphone
 Are athletes really getting faster
 Autism â€” what we know (and what we don't know yet) | Wendy Chung
 Success
 James Patten The best computer interface? Maybe ... your hands
 Dr. Dean Ornish Your genes are not your fate
 A shark-deterrent wetsuit (and it's not what you think) | Hamish Jolly
 Michel Laberge How synchronized hammer strikes could generate nuclear fusion
 Sarah Lewis Embrace the near win
 Matthew Carter My life in typefaces
 Louie Schwartzberg Nature. Beauty. Gratitude.
 Philip Evans How data will transform business
 The flower-shaped starshade that might help us detect Earth-like planets | Jeremy Kasdin
 Norman Spack How I help transgender teens become who they want to be
 Jennifer Senior For parents
 David Brooks Should you live for your rÃ©sumÃ© ... or your eulogy?
 Gabby Giffords and Mark Kelly Be passionate. Be courageous. Be your best.
 David Sengeh The sore problem of prosthetic limbs
 Hidden miracles of the natural world | Louie Schwartzberg
 Christopher Emdin Teach teachers how to create magic
 Amanda Burden How public spaces make cities work
 Lawrence Lessig The unstoppable walk to political reform
 Jennifer Golbeck The curly fry conundrum Why social media "likes" say more than you might think
 Why giving away our wealth has been the most satisfying thing we've done... | Bill and Melinda Gates
 Allan Adams The discovery that could rewrite physics
 TED
 Why I must come out | Geena Rocero
 New bionics let us run
 Del Harvey The strangeness of scale at Twitter
 Ed Yong Suicidal wasps
 Bran Ferren To create for the ages
 My Daughter
 Where's Google going next? | Larry Page
 Richard Ledgett The NSA responds to Edward Snowden's TED Talk
 Charmian Gooch My wish To launch a new era of openness in business
 What I learned from going blind in space | Chris Hadfield
 How we take back the internet | Edward Snowden
 The neuroscience of restorative justice | Dan Reisel
 Steven Pinker and Rebecca Newberger Goldstein The long reach of reason
 The birds and the bees are just the beginning | Carin Bondar
 Toby Shapshak You don't need an app for that
 Anne-Marie Slaughter Can we all "have it all"?
 Ajit Narayanan A word game to communicate in any language
 Manu Prakash A 50-cent microscope that folds like origami
 Gabriel Barcia-Colombo My DNA vending machine
 Christopher Soghoian Government surveillance â€” this is just the beginning
 Mary Lou Jepsen Could future devices read images from our brains?
 Annette Heuser The 3 agencies with the power to make or break economies
 Michael Metcalfe We need money for aid. So let's print it.
 Catherine Bracy Why good hackers make good citizens
 Siddharthan Chandran Can the damaged brain repair itself?
 Ash Beckham We're all hiding something. Let's find the courage to open up
 Are we sexual omnivores? | Christopher Ryan
 Fields Wicker-Miurin Learning from leadership's missing manual
 What it takes to be a great leader | Roselinde Torres
 Molly Stevens A new way to grow bone
 Love -- you're doing it wrong | Yann Dall'Aglio
 Rupal Patel Synthetic voices
 Chris McKnett The investment logic for sustainability
 Leyla Acaroglu Paper beats plastic? How to rethink environmental folklore
 David Puttnam What happens when the media's priority is profit?
 Aparna Rao Art that craves your attention
 Alex Wissner-Gross A new equation for intelligence
 Teddy Cruz How architectural innovations migrate across borders
 Dan Berkenstock The world is one big dataset. Now
 Esta Soler How we turned the tide on domestic violence (Hint the Polaroid helped)
 Maya Penn Meet a young entrepreneur
 Nicolas Perony Puppies! Now that I've got your attention
 Anne Milgram Why smart statistics are the key to fighting crime
 Anant Agarwal Why massively open online courses (still) matter
 How I beat stage fright | Joe Kowan
 Yves Morieux As work gets more complex
 Paula Johnson His and hers ... healthcare
 A little-told tale of sex and sensuality | Shereen El Feki
 Robots with "soul" | Guy Hoffman
 Luke Syson How I learned to stop worrying and love "useless" art
 Sheryl Sandberg So we leaned in ... now what?
 Mark Kendall Demo A needle-free vaccine patch that's safer and way cheaper
 Harish Manwani Profit's not always the point
 Ryan Holladay To hear this music you have to be there. Literally
 Frederic Kaplan How I built an information time machine
 Why dieting doesn't usually work | Sandra Aamodt
 Roger Stein A bold new way to fund drug research
 Suzanne Talhouk Don't kill your language
 I got 99 problems... palsy is just one | Maysoon Zayid
 How an obese town lost a million pounds | Mick Cornett
 Never
 Does money make you mean? | Paul Piff
 Krista Donaldson The $80 prosthetic knee that's changing lives
 Depression
 Marco Annunziata Welcome to the age of the industrial internet
 Toni Griffin A new vision for rebuilding Detroit
 Rose George Inside the secret shipping industry
 The 4 stories we tell ourselves about death | Stephen Cave
 Sally Kohn Let's try emotional correctness (No profanity)
 DiÃ©bÃ©do Francis KÃ©rÃ© How to build with clay... and community
 Boyd Varty What I learned from Nelson Mandela
 Enrique PeÃ±alosa Why buses represent democracy in action
 My underwater robot | David Lang
 Let's try emotional correctness | Sally Kohn
 Geraldine Hamilton Body parts on a chip
 Toby Eccles Invest in social change
 Want to be happy? Be grateful | David Steindl-Rast
 What is so special about the human brain? | Suzana Herculano-Houzel
 Jared Diamond How societies can grow old better
 Peter Doolittle How your "working memory" makes sense of the world
 Andreas Raptopoulos No roads? There's a drone for that
 Henry Evans and Chad Jenkins Meet the robots for humanity
 Greg Asner Ecology from the air
 Lian Pin Koh A drone's-eye view of conservation
 Jane McGonigal Massively multi-player... thumb-wrestling?
 Mohamed Ali The link between unemployment and terrorism
 Stefan Larsson What doctors can learn from each other
 Chris Downey Design with the blind in mind
 Dambisa Moyo Is China the new idol for emerging economies?
 The magic of Fibonacci numbers | Arthur Benjamin
 How the NSA betrayed the world's trust -- time to act | Mikko Hypponen
 GrÃ©goire Courtine The paralyzed rat that walked
 What I discovered in New York City trash | Robin Nagle
 The deadly genius of drug cartels | Rodrigo Canales
 The art of bow-making | Dong Woo Jang
 Holly Morris Why stay in Chernobyl? Because it's home.
 Abha Dawesar Life in the "digital now"
 Mohamed Hijri A simple solution to the coming phosphorus crisis
 Mariana Mazzucato Government -- investor
 Xavier Vilalta Architecture at home in its community
 Why our universe might exist on a knife-edge | Gian Giudice
 An Ode to Envy | Parul Sehgal | TED Talks
 Charles Robertson Africa's next boom
 Steve Howard Let's go all-in on selling sustainability
 Who am I? Think again | Hetain Patel
 What will a future without secrets look like? | Alessandro Acquisti
 Iwan Baan Ingenious homes in unexpected places
 Amanda Bennett We need a heroic narrative for death
 Jeff Speck The walkable city
 Andrew Fitzgerald Adventures in Twitter fiction
 Gary Slutkin Let's treat violence like a contagious disease
 Trita Parsi Iran and Israel Peace is possible
 Janette Sadik-Khan New York's streets? Not so mean any more
 Michael Sandel Why we shouldn't trust markets with our civic life
 Michael Porter Why business can be good at solving social problems
 Jason Pontin Can technology solve our big problems?
 Psychedelic Science | Fabian Oefner | TED Talks
 How I hacked online dating | Amy Webb
 Kelli Swazey Life that doesn't end with death
 The unheard story of David and Goliath | Malcolm Gladwell
 Why we need to talk about depression | Kevin Breel
 Why our IQ levels are higher than our grandparents' | James Flynn
 Onora O'Neill What we don't understand about trust
 Stuart Firestein The pursuit of ignorance
 How reliable is your memory? | Elizabeth Loftus
 Benjamin Barber Why mayors should rule the world
 Leather and meat without killing animals | Andras Forgacs
 Eric Berlow and Sean Gourley Mapping ideas worth spreading
 Marla Spivak Why bees are disappearing
 James Lyne Everyday cybercrime -- and what you can do about it
 The art of misdirection | Apollo Robbins
 Sonia Shah 3 reasons we still haven't gotten rid of malaria
 Ron McCallum How technology allowed me to read
 Jake Barton The museum of you
 For more wonder
 Your body is my canvas | Alexa Meade
 Chrystia Freeland The rise of the new global super-rich
 How to make stress your friend | Kelly McGonigal
 Adam Spencer Why I fell in love with monster prime numbers
 Making peace is a marathon | May El-Khalil
 Steve Ramirez and Xu Liu A mouse. A laser beam. A manipulated memory.
 Why do we sleep? | Russell Foster
 Shigeru Ban Emergency shelters made from paper
 Margaret Heffernan The dangers of "willful blindness"
 Derek Paravicini and Adam Ockelford In the key of genius
 The voices in my head | Eleanor Longden
 Saki Mafundikwa Ingenuity and elegance in ancient African alphabets
 Design for All 5 Senses | Jinsop Lee | TED Talks
 Daniel H. Cohen For argument's sake
 The polyphonic me | Beardyman
 Peter van Manen How can Formula 1 racing help ... babies?
 Julie Taymor Spider-Man
 Eli Beer The fastest ambulance? A motorcycle
 Bastian Schaefer A 3D-printed jumbo jet?
 Tania Luna How a penny made me feel like a millionaire
 Paul Kemp-Robertson Bitcoin. Sweat. Tide. Meet the future of branded currency.
 Roberto D'Angelo + Francesca Fedeli In our baby's illness
 Kate Stone DJ decks made of... paper
 John Searle Our shared condition -- consciousness
 The orchestra in my mouth | Tom Thum
 Pico Iyer Where is home?
 Gavin Pretor-Pinney Cloudy with a chance of joy
 Bernie Krause The voice of the natural world
 Al Vernacchio Sex needs a new metaphor. Here's one ...
 A promising test for pancreatic cancer ... from a teenager | Jack Andraka
 The interspecies Internet? An idea in progress...
 Michael Green Why we should build wooden skyscrapers
 Charmian Gooch Meet global corruption's hidden players
 Bluegrass virtuosity from ... New Jersey? | Sleepy Man Banjo Boys
 Jinha Lee Reach into the computer and grab a pixel
 Joel Selanikio The surprising seeds of a big-data revolution in healthcare
 Eric X. Li A tale of two political systems
 Rodney Brooks Why we will rely on robots
 Michael Archer How we'll resurrect the gastric brooding frog
 Bob Mankoff Anatomy of a New Yorker cartoon
 Peter Attia What if we're wrong about diabetes?
 Lesley Hazleton The doubt essential to faith
 Camille Seaman Photos from a storm chaser
 What will future jobs look like? | Andrew McAfee
 Paul Pholeros How to reduce poverty? Fix homes
 The family I lost in North Korea. And the family I gained | Joseph Kim
 Juliana Rotich Meet BRCK
 Didier Sornette How we can predict the next financial crisis
 A Saudi woman who dared to drive | Manal al-Sharif
 Daniel Suarez The kill decision shouldn't belong to a robot
 George Papandreou Imagine a European democracy without borders
 The astounding athletic power of quadcopters | Raffaello D'Andrea
 Martin Villeneuve How I made an impossible film
 Could we speak the language of dolphins? | Denise Herzing
 How I named
 Alex Laskey How behavioral science can lower your energy bill
